"division.id","division.house","division.name","division.date","division.number","division.clock_time","division.aye_votes","division.no_votes","division.possible_turnout","division.rebellions","division.edited","vote","strong","policy_id","policy_name"
3998,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3998,"10:52",208,4,427,61,TRUE,"aye",FALSE,40,"За політичний курс Президента"
3999,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а) - за основу","2015-10-08",3999,"10:57",217,9,427,55,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3995,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3995,"10:12",127,19,427,88,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4000,"rada","Поіменне голосування  про повернення до розгляду проекту Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",4000,"10:57",205,41,427,56,TRUE,"aye",FALSE,40,"За політичний курс Президента"
1404,"rada","Поіменне голосування  про проект Закону про внесення зміни до Закону України ""Про Державну прикордонну службу України"" (№2471) - за основу та в цілому","2015-04-09",1404,"10:51",253,0,424,84,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1406,"rada","Поіменне голосування  про проект Закону про внесення зміни до Закону України ""Про загальну структуру і чисельність Служби безпеки України"" (№2472) - за основу та в цілому","2015-04-09",1406,"11:05",268,0,424,71,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4008,"rada","Поіменне голосування  про проект Закону про особливості доступу до інформації у сферах постачання електричної енергії, природного газу, теплопостачання, централізованого постачання гарячої води, централізованого питного водопостачання та водовідведення (№2505а) - за основу","2015-10-08",4008,"11:59",256,0,427,51,TRUE,"aye",TRUE,40,"За політичний курс Президента"
5146,"rada","Поіменне голосування  про проект Закону про особливості доступу до інформації у сферах постачання електричної енергії, природного газу, теплопостачання, централізованого постачання гарячої води, централізованого питного водопостачання та водовідведення (№2505а) - у другому читанні та в цілому","2015-12-10",5146,"10:18",242,0,427,78,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4002,"rada","Сигнальне голосування  про проект Закону про органи та осіб, які здійснюють примусове виконання судових рішень і рішень інших органів (№2506а)","2015-10-08",4002,"11:14",234,13,427,53,TRUE,"aye",FALSE,40,"За політичний курс Президента"
4003,"rada","Поіменне голосування  про проект Закону про органи та осіб, які здійснюють примусове виконання судових рішень і рішень інших органів (№2506а) - за основу","2015-10-08",4003,"11:15",246,15,427,67,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4005,"rada","Поіменне голосування  про проект Закону про виконавче провадження (№2507а) - за основу","2015-10-08",4005,"11:37",249,15,427,68,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1408,"rada","Поіменне голосування  про проект Закону про правовий режим воєнного стану (№2541) - за основу","2015-04-09",1408,"11:23",258,0,424,72,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1858,"rada","Поіменне голосування  про проект Закону про правовий режим воєнного стану (№2541) - у другому читанні та в цілому","2015-05-12",1858,"16:56",254,1,425,36,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1411,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо удосконалення порядку речового забезпечення військовослужбовців (№2551) - за основу","2015-04-09",1411,"11:31",271,0,424,71,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2889,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо удосконалення порядку речового забезпечення військовослужбовців (№2551) - у другому читанні та в цілому","2015-07-01",2889,"11:46",273,0,425,66,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1412,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо організації харчування особового складу Збройних Сил України (№2595) - за основу та в цілому","2015-04-09",1412,"11:34",281,0,424,61,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2074,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо розбудови інституційної спроможності Національного банку України (№2742) - за основу","2015-05-19",2074,"11:40",231,26,423,74,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2072,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо розбудови інституційної спроможності Національного банку України (№2742) - за основу","2015-05-19",2072,"11:39",220,20,423,85,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2683,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо розбудови інституційної спроможності Національного банку України (№2742) - у другому читанні та в цілому","2015-06-18",2683,"13:07",232,2,425,65,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2273,"rada","Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України щодо розбудови інституційної спроможності Національного банку України (№2743) - за основу","2015-05-22",2273,"11:19",267,0,424,49,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2226,"rada","Сигнальне голосування  про проект Закону про внесення змін до Бюджетного кодексу України щодо розбудови інституційної спроможності Національного банку України (№2743)","2015-05-21",2226,"17:12",226,15,424,68,TRUE,"aye",FALSE,40,"За політичний курс Президента"
2227,"rada","Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України щодо розбудови інституційної спроможності Національного банку України (№2743) - за основу","2015-05-21",2227,"17:13",216,13,424,81,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2219,"rada","Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України щодо розбудови інституційної спроможності Національного банку України (№2743) - за основу","2015-05-21",2219,"17:04",223,2,424,67,TRUE,"aye",TRUE,40,"За політичний курс Президента"
2685,"rada","Поіменне голосування  про проект Закону про внесення змін до Бюджетного кодексу України щодо розбудови інституційної спроможності Національного банку України (№2743) - у другому читанні та в цілому","2015-06-18",2685,"13:12",234,2,425,70,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4557,"rada","Поіменне голосування  про проект Закону про схвалення рішення Президента України про допуск підрозділів збройних сил інших держав на територію України для участі у багатонаціональному навчанні (№3428) - за основу та в цілому","2015-11-12",4557,"16:49",238,0,427,61,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4555,"rada","Поіменне голосування  про розгляд проекту Закону про схвалення рішення Президента України про допуск підрозділів збройних сил інших держав на територію України для участі у багатонаціональному навчанні (№3428)","2015-11-12",4555,"16:46",233,1,427,65,TRUE,"aye",FALSE,40,"За політичний курс Президента"
4554,"rada","Сигнальне голосування  про розгляд проекту Закону про схвалення рішення Президента України про допуск підрозділів збройних сил інших держав на територію України для участі у багатонаціональному навчанні (№3428)","2015-11-12",4554,"16:46",232,1,427,65,TRUE,"aye",FALSE,40,"За політичний курс Президента"
4501,"rada","Поіменне голосування  про включення до порядку денного сесії проекту Закону про схвалення рішення Президента України про допуск підрозділів збройних сил інших держав на територію України для участі у багатонаціональному навчанні (№3428)","2015-11-12",4501,"11:43",262,6,427,58,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5753,"rada","Поіменне голосування  про попереднє схвалення проекту Закону про внесення змін до Конституції України (щодо правосуддя) (№3524)","2016-02-02",5753,"11:30",244,13,425,64,TRUE,"aye",TRUE,40,"За політичний курс Президента"
5410,"rada","Сигнальне голосування  про проект Закону про внесення змін до Закону України ""Про Національну гвардію України"" щодо удосконалення правових засад діяльності Національної гвардії України (№3703)","2015-12-24",5410,"23:48",232,0,425,84,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5411,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Національну гвардію України"" щодо удосконалення правових засад діяльності Національної гвардії України (№3703) - за основу та в цілому","2015-12-24",5411,"23:50",248,0,425,66,TRUE,"aye",TRUE,40,"За політичний курс Президента"
5409,"rada","Сигнальне голосування  про проект Закону про внесення змін до Закону України ""Про Національну гвардію України"" щодо удосконалення правових засад діяльності Національної гвардії України (№3703)","2015-12-24",5409,"23:47",214,0,425,87,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5432,"rada","Поіменне голосування  про проект Закону про схвалення рішення Президента України про допуск підрозділів збройних сил інших держав на територію України у 2016 році для участі у багатонаціональних навчаннях (№3720) - за основу та в цілому","2015-12-25",5432,"01:12",239,0,426,65,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6018,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України стосовно удосконалення засад діяльності Національного агентства України з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів (№4056) - за основу","2016-02-16",6018,"11:05",282,8,426,51,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6020,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України стосовно удосконалення засад діяльності Національного агентства України з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів (№4056) - в цілому","2016-02-16",6020,"11:07",209,18,426,82,TRUE,"aye",FALSE,40,"За політичний курс Президента"
6019,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України стосовно удосконалення засад діяльності Національного агентства України з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів (№4056) - в цілому","2016-02-16",6019,"11:06",219,19,426,73,TRUE,"aye",FALSE,40,"За політичний курс Президента"
6174,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України стосовно удосконалення засад діяльності Національного агентства України з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів (№4056) - у другому читанні та в цілому","2016-02-18",6174,"18:27",261,2,426,31,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6027,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про прокуратуру"" щодо забезпечення прозорості в організації діяльності Спеціалізованої антикорупційної прокуратури з метою виконання рекомендацій Міжнародного валютного фонду (№4055) - за основу","2016-02-16",6027,"12:13",236,26,426,80,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6026,"rada","Сигнальне голосування  про проект Закону про внесення змін до Закону України ""Про прокуратуру"" щодо забезпечення прозорості в організації діяльності Спеціалізованої антикорупційної прокуратури з метою виконання рекомендацій Міжнародного валютного фонду (№4055) - за основу та в цілому","2016-02-16",6026,"12:12",191,33,426,119,TRUE,"aye",FALSE,40,"За політичний курс Президента"
6141,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про прокуратуру"" щодо забезпечення прозорості в організації діяльності Спеціалізованої антикорупційної прокуратури з метою виконання рекомендацій Міжнародного валютного фонду (№4055) - у другому читанні та в цілому","2016-02-18",6141,"17:11",302,1,426,48,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6022,"rada","Сигнальне голосування  про проект Закону про внесення змін до Кримінального та Кримінального процесуального кодексів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської Комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України, стосовно удосконалення процедури арешту майна та інституту спеціальної конфіскації (№4054) - за основу та в цілому","2016-02-16",6022,"11:30",202,23,426,84,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6138,"rada","Поіменне голосування  про проект Закону про внесення змін до Кримінального та Кримінального процесуального кодексів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської Комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України, стосовно удосконалення процедури арешту майна та інституту спеціальної конфіскації (№4054) - у другому читанні та в цілому","2016-02-18",6138,"16:58",252,2,426,52,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6023,"rada","Поіменне голосування  про проект Закону про внесення змін до Кримінального та Кримінального процесуального кодексів України щодо виконання рекомендацій, які містяться у шостій доповіді Європейської Комісії про стан виконання Україною Плану дій щодо лібералізації Європейським Союзом візового режиму для України, стосовно удосконалення процедури арешту майна та інституту спеціальної конфіскації (№4054) - за основу","2016-02-16",6023,"11:31",264,14,426,61,TRUE,"aye",TRUE,40,"За політичний курс Президента"
6088,"rada","Сигнальне голосування  про проект Закону про внесення зміни до статті 15 Закону України ""Про військовий обов'язок і військову службу"" щодо призову громадян України на строкову військову службу (№4020) - за основу та в цілому","2016-02-18",6088,"10:40",225,0,426,59,TRUE,"aye",FALSE,40,"За політичний курс Президента"
6087,"rada","Сигнальне голосування  про проект Закону про внесення зміни до статті 15 Закону України ""Про військовий обов'язок і військову службу"" щодо призову громадян України на строкову військову службу (№4020) - за основу та в цілому","2016-02-18",6087,"10:39",220,0,426,54,TRUE,"aye",FALSE,40,"За політичний курс Президента"
6089,"rada","Поіменне голосування  про проект Закону про внесення зміни до статті 15 Закону України ""Про військовий обов'язок і військову службу"" щодо призову громадян України на строкову військову службу (№4020) - за основу та в цілому","2016-02-18",6089,"10:40",235,0,426,55,TRUE,"aye",TRUE,40,"За політичний курс Президента"
5862,"rada","Сигнальне голосування  про проект Закону про прийняття Протоколу про внесення змін до Угоди ТРІПС (№0079)","2016-02-03",5862,"13:19",221,0,426,64,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5861,"rada","Сигнальне голосування  про проект Закону про прийняття Протоколу про внесення змін до Угоди ТРІПС (№0079)","2016-02-03",5861,"13:18",211,0,426,68,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5863,"rada","Сигнальне голосування  про проект Закону про прийняття Протоколу про внесення змін до Угоди ТРІПС (№0079)","2016-02-03",5863,"13:20",225,0,426,63,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5858,"rada","Сигнальне голосування  про проект Закону про ратифікацію Протоколу про реєстри викидів і перенесення забруднювачів (№0078)","2016-02-03",5858,"13:06",222,0,426,71,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5857,"rada","Сигнальне голосування  про проект Закону про ратифікацію Протоколу про реєстри викидів і перенесення забруднювачів (№0078)","2016-02-03",5857,"13:04",212,0,426,74,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5856,"rada","Сигнальне голосування  про проект Закону про ратифікацію Протоколу про реєстри викидів і перенесення забруднювачів (№0078)","2016-02-03",5856,"13:03",204,0,426,79,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5629,"rada","Сигнальне голосування  про проект Закону про ратифікацію Угоди між Україною та Королівством Іспанія про взаємну охорону інформації з обмеженим доступом (№0072)","2016-01-27",5629,"11:00",220,0,427,95,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5628,"rada","Сигнальне голосування  про проект Закону про ратифікацію Угоди між Україною та Королівством Іспанія про взаємну охорону інформації з обмеженим доступом (№0072)","2016-01-27",5628,"10:59",217,0,427,81,TRUE,"aye",FALSE,40,"За політичний курс Президента"
5630,"rada","Сигнальне голосування  про проект Закону про ратифікацію Угоди між Україною та Королівством Іспанія про взаємну охорону інформації з обмеженим доступом (№0072)","2016-01-27",5630,"11:01",232,0,427,85,TRUE,"aye",FALSE,40,"За політичний курс Президента"
3766,"rada","Сигнальне голосування  про проект Закону про ратифікацію Договору про дружні відносини і співробітництво між Україною та Республікою Парагвай (№0053)","2015-09-16",3766,"11:00",220,0,425,59,TRUE,"aye",FALSE,40,"За політичний курс Президента"
7547,"rada","Поіменне голосування  про включення до порядку денного сесії проекту Закону про судоустрій і статус суддів (№4734)","2016-05-31",7547,"11:19",231,0,417,69,TRUE,"aye",FALSE,40,"За політичний курс Президента"
7284,"rada","Поіменне голосування  про проект Постанови про надання згоди на призначення Президентом України Луценка Ю.В. на посаду Генерального прокурора України (№4654) - за основу та в цілому","2016-05-12",7284,"18:15",264,37,418,37,TRUE,"aye",TRUE,40,"За політичний курс Президента"
7099,"rada","Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законодавчих актів України щодо врегулювання окремих питань правового режиму території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи (№4437)","2016-04-21",7099,"13:53",205,0,419,85,TRUE,"aye",FALSE,40,"За політичний курс Президента"
7024,"rada","Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законодавчих актів України щодо врегулювання окремих питань правового режиму території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи (№4437)","2016-04-20",7024,"11:52",173,0,414,72,TRUE,"aye",FALSE,40,"За політичний курс Президента"
7252,"rada","Поіменне голосування  про включення до порядку денного сесії проекту Закону про внесення змін до деяких законодавчих актів України щодо врегулювання окремих питань правового режиму території, що зазнала радіоактивного забруднення внаслідок Чорнобильської катастрофи (№4437)","2016-05-12",7252,"11:25",281,0,418,60,TRUE,"aye",FALSE,40,"За політичний курс Президента"
8157,"rada","Поіменне голосування  про проект Закону про ратифікацію Паризької угоди (№0105) - в цілому","2016-07-14",8157,"11:25",279,0,417,41,FALSE,"aye",TRUE,40,"За політичний курс Президента"
8156,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про ратифікацію Паризької угоди (№0105)","2016-07-14",8156,"11:09",171,5,417,99,FALSE,"aye",FALSE,40,"За політичний курс Президента"
8596,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про ратифікацію Фінансової угоди (Проект ""Основний кредит для аграрної галузі - Україна"") між Україною та Європейським інвестиційним банком (№0106)","2016-09-20",8596,"16:43",192,15,424,109,FALSE,"aye",FALSE,40,"За політичний курс Президента"
8597,"rada","Поіменне голосування  про проект Закону про ратифікацію Фінансової угоди (Проект ""Основний кредит для аграрної галузі - Україна"") між Україною та Європейським інвестиційним банком (№0106) - в цілому","2016-09-20",8597,"16:57",269,0,424,71,FALSE,"aye",TRUE,40,"За політичний курс Президента"
9193,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про ратифікацію Угоди (у формі обміну нотами) між Україною та Королівством Нідерланди про продовження до 1 серпня 2017 року строку дії Угоди між Україною та Королівством Нідерланди про Міжнародну місію захисту розслідування від 28 липня 2014 року (№0111)","2016-10-19",9193,"10:43",153,7,424,132,FALSE,"aye",FALSE,40,"За політичний курс Президента"
